Workload,Replicas_1,Replicas_2,Replicas_3,Latency
75.0,2,4,1,36.596
55.0,2,4,1,14.892
55.0,2,4,1,3.941
65.0,2,4,1,1.357
55.0,2,4,1,3.312
25.0,2,4,1,0.638
65.0,2,4,1,nan
55.0,2,4,1,13.066
55.0,2,4,1,19.794
55.0,2,4,1,1.364
55.0,2,4,1,1.612
55.0,2,4,1,0.044
65.0,2,4,1,0.011
55.0,2,4,1,1.219
55.0,2,4,1,6.765
55.0,2,4,1,6.215
65.0,2,4,1,4.305
55.0,2,4,1,3.609
55.0,2,4,1,6.444
65.0,2,4,1,1.048
75.0,2,4,1,3.363
85.0,2,4,1,8.634
55.0,2,4,2,28.279
25.0,2,4,1,0.205
35.0,2,4,1,0.879
